EDAD,Básico,Pér. Org.,Muerte Acc,Muerte Acc Col,Invalidez,Otros,Certificados,Reaseguro
43, 230 , -   , -   , -   , -   , -   ,1,Facultativo
34, 232 , -   , -   , -   , -   , -   ,1,Automático
87, 232 , -   , -   , -   , -   , -   ,1,Automático
40, 233 , -   , -   , -   , -   , -   ,1,Automático
28, 234 , -   , -   , -   , -   , -   ,1,Automático
25, 235 , -   , -   , -   , -   , -   ,1,Automático
47, 237 , -   , -   , -   , 237 , -   ,1,Automático
86, 237 , -   , -   , -   , -   , -   ,1,Automático
29, 238 , -   , -   , -   , -   , -   ,1,Automático
42, 241 , -   , -   , -   , -   , -   ,1,Automático
81, 241 , -   , -   , -   , -   , -   ,1,Automático
51, 243 , -   , -   , -   , -   , -   ,1,Automático
25, 245 , -   , -   , -   , -   , -   ,1,Automático
55, 248 , -   , -   , -   , -   , -   ,1,Automático
48, 249 , -   , -   , -   , -   , -   ,1,Automático
74, 250 , -   , -   , -   , -   , -   ,1,Automático
24, 250 , -   , -   , -   , -   , 726 ,1,Automático
26, 250 , -   , -   , -   , -   , 922 ,1,Automático
31, 250 , -   , -   , -   , -   , 745 ,1,Automático
31, 250 , -   , -   , -   , -   , 919 ,1,Automático
31, 250 , -   , -   , -   , -   ," 1,624 ",1,Automático
36, 250 , -   , -   , -   , -   , 695 ,1,Automático
38, 250 , -   , -   , -   , -   , 662 ,1,Automático
42, 250 , -   , -   , -   , -   , 656 ,1,Automático
42, 250 , -   , -   , -   , -   ," 1,222 ",1,Automático
49, 250 , -   , -   , -   , -   , 817 ,1,Automático
57, 250 , -   , -   , -   , -   , 756 ,1,Automático
60, 250 , -   , -   , -   , -   ," 3,260 ",1,Automático
63, 252 , -   , -   , -   , -   , -   , 1 ,Automático
36, 253 , -   , -   , -   , 253 , -   ,1,Automático
50, 254 , -   , -   , -   , -   , -   ,1,Automático
58, 254 , -   , -   , -   , -   , -   ,1,Facultativo
36, 254 , -   , -   , -   , -   , -   ,1,Automático
71, 255 , -   , -   , -   , -   , -   ,1,Automático
42, 256 , -   , -   , -   , -   , -   ,2,Automático
35, 258 , -   , -   , -   , -   , -   ,1,Automático
50, 258 , -   , -   , -   , -   , -   ,1,Automático
58, 260 , -   , -   , -   , -   , -   ,1,Automático
55, 261 , -   , -   , -   , 261 , -   ,1,Automático
39, 262 , -   , -   , -   , 262 , -   ,2,Automático
60, 262 , -   , -   , -   , 262 , -   ,3,Automático
52, 263 , -   , -   , -   , -   , -   ,1,Automático
67, 263 , -   , -   , -   , -   , -   ,1,Automático
43, 265 , -   , -   , -   , -   , -   ,1,Automático
46, 268 , -   , -   , -   , -   , -   ,1,Automático
62, 269 , -   , -   , -   , -   , -   , 1 ,Automático
59, 276 , -   , -   , -   , -   , -   ,1,Automático
52, 277 , -   , -   , -   , -   , -   ,1,Automático
60, 285 , -   , -   , -   , -   , -   ,1,Automático
36, 287 , -   , -   , -   , -   , -   ,1,Automático
38, 288 , -   , -   , -   , -   , -   ,1,Automático
65, 293 , -   , -   , -   , -   , -   , 1 ,Automático
32, 296 , -   , -   , -   , -   , -   ,1,Automático
35, 303 , -   , -   , -   , -   , -   ,1,Automático
53, 304 , -   , -   , -   , -   , -   ,1,Automático
50, 308 , -   , -   , -   , -   , -   ,1,Automático
44, 308 , -   , -   , -   , -   , -   ,1,Automático
47, 310 , -   , -   , -   , -   , -   ,1,Automático
72, 312 , -   , -   , -   , -   , -   ,1,Automático
36, 312 , -   , -   , -   , 312 , -   ,1,Automático
42, 312 , -   , -   , -   , -   , -   ,1,Facultativo
74, 313 , -   , -   , -   , -   , -   ,1,Automático
40, 320 , -   , -   , -   , -   , -   ,1,Automático
29, 321 , -   , -   , -   , -   , -   ,1,Automático
57, 322 , -   , -   , -   , -   , -   ,1,Automático
37, 331 , -   , -   , -   , -   , -   ,1,Automático
24, 335 , -   , -   , -   , -   , -   ,1,Automático
50, 336 , -   , -   , -   , -   , -   ,1,Automático
47, 337 , -   , -   , -   , -   , -   ,1,Automático
43, 342 , -   , -   , -   , -   , -   ,1,Automático
58, 342 , -   , -   , -   , -   , -   ,1,Automático
